Time,Extension,Load
(sec),(mm),(N)
62.80000,-6.95878,-29.93091
62.90000,-6.96892,-29.99224
63.00000,-6.97865,-30.04597
63.10000,-6.98878,-30.09657
63.20000,-6.99892,-30.15234
63.30000,-7.00892,-30.20556
63.40000,-7.01865,-30.25002
63.50000,-7.02852,-30.30333
63.60000,-7.03878,-30.35980
63.70000,-7.04865,-30.41805
63.80000,-7.05865,-30.46512
63.90000,-7.06878,-30.53735
64.00000,-7.07852,-30.57355
64.10001,-7.08878,-30.63746
64.20000,-7.09892,-30.69216
64.30000,-7.10865,-30.74491
64.40000,-7.11892,-30.80958
64.50000,-7.12878,-30.86003
64.60001,-7.13865,-30.90625
64.70000,-7.14878,-30.97024
64.80000,-7.15852,-31.01909
64.90000,-7.16865,-31.07898
65.00000,-7.17865,-31.12466
65.10001,-7.18852,-31.18662
65.20000,-7.19852,-31.24128
65.30000,-7.20865,-31.30679
65.40000,-7.21892,-31.36260
65.50000,-7.22865,-31.41527
65.60001,-7.23892,-31.47484
65.70001,-7.24878,-31.54191
65.80000,-7.25838,-31.58976
65.90000,-7.26892,-31.65191
66.00000,-7.27865,-31.71262
66.10001,-7.28852,-31.75774
66.20001,-7.29892,-31.82434
66.30000,-7.30852,-31.87751
66.40000,-7.31865,-31.93758
66.50000,-7.32878,-31.99712
66.60001,-7.33865,-32.04835
66.70001,-7.34878,-32.11626
66.80000,-7.35878,-32.17254
66.90000,-7.36878,-32.22699
67.00000,-7.37878,-32.29236
67.10001,-7.38892,-32.34950
67.20001,-7.39878,-32.41675
67.30000,-7.40865,-32.46862
67.40000,-7.41892,-32.53276
67.50000,-7.42878,-32.59050
67.60001,-7.43852,-32.64532
67.70001,-7.44878,-32.71174
67.80000,-7.45851,-32.76720
67.90000,-7.46865,-32.83422
68.00000,-7.47905,-32.90131
68.10001,-7.48865,-32.95413
68.20001,-7.49878,-33.01160
68.30000,-7.50891,-33.07807
68.40000,-7.51878,-33.13267
68.50000,-7.52892,-33.19648
68.60001,-7.53878,-33.25828
68.70001,-7.54878,-33.31520
68.80000,-7.55865,-33.37311
68.90000,-7.56891,-33.44000
69.00000,-7.57865,-33.49249
69.10001,-7.58838,-33.55548
69.20001,-7.59891,-33.62549
69.30000,-7.60851,-33.68389
69.40000,-7.61878,-33.74819
69.50000,-7.62891,-33.82453
69.60001,-7.63851,-33.87607
69.70001,-7.64891,-33.94165
69.80000,-7.65891,-34.00714
69.90000,-7.66865,-34.06053
70.00000,-7.67878,-34.12708
70.10001,-7.68865,-34.19297
70.20001,-7.69865,-34.25098
70.30000,-7.70865,-34.31260
70.40000,-7.71865,-34.37799
70.50000,-7.72878,-34.45255
70.60001,-7.73851,-34.50588
70.70001,-7.74878,-34.58012
70.80000,-7.75865,-34.64151
70.90000,-7.76865,-34.70742
71.00000,-7.77891,-34.78215
71.10001,-7.78865,-34.83516
71.20001,-7.79878,-34.90693
71.30000,-7.80891,-34.97832
71.40000,-7.81851,-35.02335
71.50000,-7.82891,-35.09511
71.60001,-7.83878,-35.15710
71.70001,-7.84865,-35.22018
71.80000,-7.85865,-35.28972
71.90000,-7.86851,-35.36154
72.00000,-7.87865,-35.42477
72.10001,-7.88891,-35.49943
72.20001,-7.89891,-35.56371
72.30000,-7.90878,-35.63258
72.40000,-7.91865,-35.69476
72.50000,-7.92891,-35.76766
72.60001,-7.93878,-35.83076
72.70001,-7.94891,-35.89743
72.80000,-7.95878,-35.96873
72.90000,-7.96851,-36.02897
73.00000,-7.97891,-36.09676
73.10001,-7.98865,-36.17074
73.20001,-7.99851,-36.23355
73.30000,-8.00891,-36.31595
73.40000,-8.01865,-36.38463
73.50000,-8.02878,-36.45508
73.60001,-8.03891,-36.52682
73.70001,-8.04878,-36.59290
73.80000,-8.05878,-36.66882
73.90000,-8.06891,-36.73562
74.00000,-8.07878,-36.80112
74.10001,-8.08865,-36.87446
74.20001,-8.09878,-36.93957
74.30000,-8.10865,-37.01449
74.40000,-8.11851,-37.08810
74.50000,-8.12891,-37.15687
74.60001,-8.13865,-37.22014
74.70001,-8.14851,-37.29215
74.80000,-8.15905,-37.36969
74.90000,-8.16878,-37.43829
75.00000,-8.17878,-37.50100
75.10001,-8.18891,-37.58372
75.20001,-8.19851,-37.64769
75.30000,-8.20878,-37.72657
75.40000,-8.21891,-37.80333
75.50000,-8.22878,-37.86536
75.60001,-8.23865,-37.93843
75.70001,-8.24851,-38.00872
75.80000,-8.25865,-38.08209
75.90000,-8.26851,-38.15508
76.00000,-8.27878,-38.22995
76.10001,-8.28878,-38.31515
76.20001,-8.29851,-38.37635
76.30000,-8.30905,-38.46572
76.40000,-8.31878,-38.52983
76.50000,-8.32878,-38.60383
76.60001,-8.33905,-38.68578
76.70001,-8.34851,-38.76302
76.80000,-8.35865,-38.83087
76.90000,-8.36891,-38.91356
77.00000,-8.37851,-38.97714
77.10001,-8.38865,-39.06034
77.20001,-8.39878,-39.13339
77.30000,-8.40865,-39.21311
77.40000,-8.41878,-39.29404
77.50000,-8.42878,-39.36191
77.60001,-8.43878,-39.43995
77.70001,-8.44891,-39.52608
77.80000,-8.45905,-39.60596
77.90000,-8.46878,-39.67803
78.00000,-8.47865,-39.74780
78.10001,-8.48891,-39.83819
78.20001,-8.49865,-39.90758
78.30000,-8.50878,-39.98946
78.40000,-8.51878,-40.07438
78.50000,-8.52838,-40.13419
78.60001,-8.53878,-40.21914
78.70001,-8.54891,-40.30801
78.80000,-8.55865,-40.37740
78.90000,-8.56891,-40.46231
79.00000,-8.57878,-40.54014
79.10001,-8.58878,-40.62837
79.20001,-8.59891,-40.70324
79.30000,-8.60891,-40.78221
79.40000,-8.61865,-40.86497
79.50000,-8.62851,-40.93823
